AFFX-MurIL2_at,AFFX-MurIL10_at,AFFX-MurIL4_at,AFFX-MurFAS_at,AFFX-hum_alu_at,AFFX-DapX-5_at,AFFX-DapX-M_at,AFFX-DapX-3_at,AFFX-LysX-5_at,AFFX-LysX-M_at,AFFX-LysX-3_at,AFFX-PheX-5_at,AFFX-PheX-M_at,AFFX-PheX-3_at,AFFX-ThrX-5_at,AFFX-ThrX-M_at,AFFX-ThrX-3_at,AFFX-TrpnX-5_at,AFFX-TrpnX-M_at,AFFX-TrpnX-3_at,AFFX-HUMISGF3A/M97935_5_at,AFFX-HUMISGF3A/M97935_MA_at,AFFX-HUMISGF3A/M97935_MB_at,AFFX-HUMISGF3A/M97935_3_at,AFFX-HUMRGE/M10098_5_at,AFFX-HUMRGE/M10098_M_at,AFFX-HUMRGE/M10098_3_at,AFFX-HUMGAPDH/M33197_5_at,AFFX-HUMGAPDH/M33197_M_at,AFFX-HUMGAPDH/M33197_3_at,AFFX-HSAC07/X00351_5_at,AFFX-HSAC07/X00351_M_at,AFFX-HSAC07/X00351_3_at,AFFX-HUMTFRR/M11507_5_at,AFFX-HUMTFRR/M11507_M_at,AFFX-HUMTFRR/M11507_3_at,AFFX-M27830_5_at,AFFX-M27830_M_at,AFFX-M27830_3_at,AFFX-HSAC07/X00351_3_st,AFFX-HUMGAPDH/M33197_5_st,AFFX-HUMGAPDH/M33197_M_st,AFFX-HUMGAPDH/M33197_3_st,AFFX-HSAC07/X00351_5_st,AFFX-HSAC07/X00351_M_st,AFFX-YEL002c/WBP1_at,AFFX-YEL018w/_at,AFFX-YEL024w/RIP1_at,AFFX-YEL021w/URA3_at,31307_at,31308_at,31309_r_at,31310_at,31311_at,31312_at,31313_at,31314_at,31315_at,31316_at,31317_r_at,31318_at,31319_at,31320_at,31321_at,31322_at,31323_r_at,31324_at,31325_at,31326_at,31327_at,31328_at,31329_at,31330_at,31331_at,31332_at,31333_at,31334_at,31335_at,31336_at,31337_at,31338_at,31339_at,31340_at,31341_at,31342_at,31343_at,31344_at,31345_at,31346_at,31347_at,31348_at,31349_at,31350_at,31351_at,31352_at,31353_f_at,31354_r_at,31355_at,31356_at,31357_at,Class
147,43,-2,202,37354,50,178,-100,-12,-228,144,-140,-169,-85,-52,26,-718,35,-182,-72,23,-57,98,2578,-86,-249,-238,510,-284,34766,700,143,29542,153,-25,119,-57,808,614,8692,276,316,1843,-144,108,-62,-80,100,523,-117,-27,-29,-124,-98,177,-173,70,-113,-10,1190,0,13,-436,728,-42,-745,174,-86,-399,-24,284,-43,9330,-38,-10,79,65,-165,-40,-395,9,-69,-99,-1186,161,-63,132,28,-276,-911,-192,-490,-222,-278,85,456,-516,68,300,-60,2
-56,102,83,245,19576,49,243,-89,76,-294,155,-123,-331,-128,18,-34,-340,-31,-357,-33,34,399,594,1357,-55,-399,-581,35381,21982,27426,25068,28248,27359,1160,723,3057,-36,627,1360,1418,5,507,526,-395,154,154,-213,223,663,-174,-93,17,133,412,229,-449,-41,885,-33,4042,-31,129,-697,750,25,-46,358,-375,-635,-108,191,29,32343,-114,25,-4,7,-257,-74,-1022,63,-82,-64,-567,523,-60,190,71,-507,-1799,-294,-447,-239,-552,192,788,-918,-1,317,-137,2
-522,119,30,489,12817,192,634,-132,-18,-81,234,-356,-65,-188,-133,-8,-969,-48,-231,-152,50,263,782,2015,-135,-613,-580,35767,22196,30385,26225,29720,30101,655,-66,1080,229,1043,1926,1509,-211,652,609,-200,188,-127,-339,255,674,-398,-336,92,-42,653,121,-746,-22,-407,-1,4558,-24,-27,164,1029,182,-887,874,-818,-968,0,388,137,35638,-156,-24,72,90,-429,3,-1976,102,-51,-166,-713,921,-130,321,199,-1034,-406,-517,-501,1297,-1235,643,2182,-1594,55,1238,-301,2
-115,9,102,374,28131,132,321,-81,-25,-39,18,-102,-214,-145,-280,-99,-296,60,-373,-89,3,-286,287,710,-180,-508,-440,40630,25489,35128,28637,35378,32798,426,-36,962,320,3060,851,2205,9,259,658,-662,-60,111,-245,194,1499,-389,-152,-40,-254,814,176,-708,-16,-399,-77,5055,77,112,-246,1385,231,58,604,-434,-1226,-91,130,8,37594,-449,97,3,18,164,-48,-1526,137,-452,-239,-890,1206,-51,322,-96,-961,-2126,-697,-399,768,-414,178,1970,-1624,-804,811,-185,2
-231,74,-15,681,13201,117,567,-153,35,-386,256,-153,-129,-22,-156,24,-589,15,-235,-50,157,508,1095,2763,-23,-536,-512,33506,20442,25059,20796,24373,27103,1495,2400,9894,78,711,1278,1058,151,757,629,-476,223,-76,-154,152,922,-238,-184,-60,-179,483,-261,-502,-36,3977,-32,3638,-110,549,-896,863,-87,-967,419,-495,-934,66,406,-17,29430,-178,-11,38,-79,-355,6,-1130,94,71,-192,-295,603,-136,643,10,-632,-1953,-318,-602,45,-794,274,803,-957,123,1476,-308,2
-196,-3,-154,183,15404,266,465,-265,84,-435,1,-245,-186,-44,-66,-127,-653,12,-582,-56,338,599,831,1549,136,-571,-568,34303,21416,28020,25153,27456,27405,2692,1291,4164,532,115,2072,1754,-644,526,678,-304,398,-61,-278,279,762,-154,-324,-25,175,705,189,-516,149,997,-106,5092,100,325,-164,936,208,-654,850,-695,-1638,-45,77,34,30749,-122,93,114,-128,-925,-42,-1311,129,-281,39,551,670,-142,485,75,-1046,-3625,-420,-508,318,-507,288,1817,-1202,81,486,-214,2
-189,102,25,406,20865,99,273,-242,-167,-532,143,-198,-96,-52,-139,-4,-922,12,-307,-72,157,41,326,595,128,-655,-576,45205,27838,36264,30507,36662,35632,781,158,876,80,2803,1259,1459,-305,509,436,-59,616,-63,85,275,872,-279,-156,-15,84,561,127,-501,-98,651,-91,5927,-58,289,-65,1202,7,-355,512,-387,-398,-109,275,145,33996,-280,34,36,-52,-460,-31,-1570,180,-201,-116,174,1007,-59,499,69,-1451,-2549,-373,-889,110,-835,190,313,-1691,-72,1232,-296,2
-69,6,146,438,26238,169,697,-242,70,-506,273,-213,-100,61,39,8,-632,162,-255,-41,183,1098,1198,1607,782,-365,-236,36967,24380,34838,32848,37733,37095,564,243,1346,745,3037,473,2177,-374,251,249,-356,-165,43,-204,289,1171,-170,-246,-78,-275,692,242,-1446,-302,168,0,6179,-55,-372,-699,827,312,307,1076,-970,-2340,-127,-388,88,38042,-20,-181,-95,-84,-967,-201,-1161,14,-901,58,-2863,949,-127,311,-36,96,-2372,-644,-844,1445,-1633,32,550,-3639,496,1752,-624,2
-455,201,17,171,18003,181,386,-179,112,-245,237,-332,-299,-87,-149,74,-1530,178,-568,43,383,539,470,1029,1376,41,-476,36798,21733,29758,25432,24594,28525,937,401,1735,1763,3206,1207,3163,-514,500,612,-348,403,-56,37,189,1205,-257,-278,23,78,638,170,-584,-183,-486,-115,4654,-7,-41,-1664,687,-56,-1244,993,-773,-2314,-5,445,53,33166,3,115,96,259,-501,164,-1922,249,-435,-175,-849,732,-16,695,80,-1217,-4724,-595,-909,1107,-965,307,1956,-2122,-337,551,-234,2
-146,144,63,380,21192,152,691,-394,-35,-457,172,-243,-185,33,84,127,-628,29,-838,-100,2920,6972,7481,12575,194,-1698,-755,39559,23888,30982,24253,28658,31415,2962,2243,6841,446,521,834,1579,-783,365,-49,-796,14,35,-486,655,1286,-327,-875,-13,82,988,-387,-1281,287,1240,-320,4514,-219,-835,-2701,776,167,-1489,902,-1194,-2568,-282,-30,-46,34358,-170,-62,-68,384,-1763,-105,-1019,57,-331,17,-2299,577,-275,410,-60,-1017,-2934,-947,-913,49,-1676,172,-159,-2128,132,341,-692,2
-196,205,58,167,15538,28,357,-48,0,-173,68,-145,-77,127,26,-70,-235,-18,-198,-75,830,2003,2241,2687,-9,-196,-187,36186,24764,30588,28163,29503,30430,1356,813,2784,202,150,36,954,5,25,175,-283,398,-13,56,236,542,-112,-166,-34,-39,181,-71,-325,-178,-98,-108,1870,-20,245,-172,259,77,-464,353,-343,-651,-63,134,-3,35323,-113,-34,-34,-59,-155,-21,-20,132,-354,-24,33,768,-115,127,32,-2,-1391,-184,-186,-188,-791,130,1155,-637,-283,786,-196,2
-184,103,35,33,19247,204,638,-617,-19,-499,240,-269,-188,-251,140,-141,-954,-28,-603,-80,571,1174,881,2570,-150,-621,-1085,32267,21164,23729,21314,22991,27298,1323,999,4336,32,929,130,1898,131,641,797,-255,319,-82,-389,280,680,-362,-163,-40,283,980,-325,-429,210,611,-114,6902,1,233,-3695,1430,45,-772,852,-467,-977,-71,628,100,30862,-164,67,-9,-37,33,-43,-591,205,-118,-64,-1563,1431,-52,628,94,-977,-1200,-335,-640,252,-531,35,1266,-1836,32,688,-331,2
-71,6,122,270,19983,38,514,-246,66,-466,236,-321,-233,114,85,40,-665,87,-224,-33,338,853,1394,2050,327,-737,-661,41527,25788,30196,27367,29109,31397,782,291,783,228,3178,2278,2009,-1076,250,26,-476,367,35,-388,400,868,-332,-400,-31,210,385,6,-1069,-207,2825,-139,5250,-200,186,-413,1217,12,-1739,942,-1037,-2216,-282,-336,51,31108,-248,-16,-23,-60,-955,-6,-1094,155,-648,-4,-1804,581,-171,237,173,-1295,-4615,-1130,-815,331,-1441,280,-50,-2247,265,2381,-640,2
